"","output_JJ1715_393_S43_R1_001.fastq_paired.fq_quant","output_JJ1715_394_S44_R1_001.fastq_paired.fq_quant"
"Camk1g",4,4
"Camk2a",80,97.085
"Camk2b",596.724,692.734
"Camk2d",6261.886,6970.794
"Camk2g",476.202,700.126
"Camk2n1",2596.759,2946.494
"Camk2n2",25,51
"Camk4",48.247,61.127
"Camkk1",87,106.012
"Camkk2",256.025,385.075
"Camkmt",113,132
"Camkv",0,0
"Caml",422.337,481.04
"Camp",1,0
"Camsap1",500.89,383.872
"Camsap2",448.549,389.999
"Camsap3",2500.112,1946.759
"Camta1",235,329
"Camta2",2145.414,1998.196
"Cand1",2634.339,2812.981
"Cand2",193.487,242.825
"Cant1",3466.536,3468.945
"Canx",19558.746,19258.131
"Cap1",8829.944,9110.171
"Cap2",580.77,755.748
"Capg",389.005,955.124
"Capn1",5680.77,4821.781
"Capn10",372,413.675
"Capn11",35,13
"Capn12",2,3.001
"Capn13",894.242,7607.422
"Capn15",410.316,413.308
"Capn2",1160.42,1908.885
"Capn3",49.403,17
"Capn5",859.04,1198.867
"Capn6",4,3
"Capn7",1465.467,1703.282
"Capn8",150.179,174
"Capn9",639.02,1227.548
"Capns1",4176.151,7194.169
"Capns2",0,1
"Caprin1",8647.378,7236.329
"Caprin2",101.858,106.774
"Capsl",19,34
"Capza1",1782.494,1855.104
"Capza2",6649.177,7076.059
"Capza3",0,0
"Capzb",9555.41,12560.582
"Car1",152,159
"Car10",3,9
"Car11",18,18.005
"Car12",757.394,664.501
"Car13",1690.017,1061.09
"Car14",92.999,65
"Car15",44.823,18.358
"Car2",139.058,156.794
"Car3",293.561,109.004
"Car4",3049.972,16737.764
"Car5a",3.001,0
"Car5b",40.731,24.231
"Car6",0,2
"Car7",14,32
"Car8",871.777,1649.131
"Car9",864.611,1326.823
"Card10",369.289,525.625
"Card11",317.624,257.079
"Card14",270.096,339.994
"Card19",269,350
"Card6",460.336,482.023
"Card9",272.412,191.048
"Carf",108.436,139.322
"Carhsp1",1562.125,1620.848
"Carkd",648.453,837.96
"Carm1",983.956,1137.203
"Carnmt1",472.594,528.447
"Carns1",26,46
"Cars",1163.532,921.396
"Cars2",307.372,403.012
"Cartpt",45,71.863
"Casc1",21,7
"Casc3",1487.403,1522.948
"Casc4",344.812,418.671
"Casc5",313.324,321.416
"Casd1",738.116,788.045
"Cask",2034.357,1810.965
"Caskin1",22,15
"Caskin2",1215.556,885.03
"Casp1",4261.347,3660.267
"Casp12",429.891,557.161
"Casp14",17,3
"Casp16-ps",1,0
"Casp2",933.7,926.013
"Casp3",1433.75,2699.58
"Casp4",1256.77,1054.492
"Casp6",368.805,599.573
"Casp7",7430.901,5933.663
"Casp8",4234.119,3863.455
"Casp8ap2",597.956,491.049
"Casp9",672.919,626.036
"Casq1",9,52.012
"Casq2",487.089,721.408
"Casr",0,3
"Cass4",16,29
"Cast",7659.188,5294.641
"Casz1",2436.962,2597.295
"Cat",4205.409,1950.701
"Catip",3,6
"Catsper2",24,26.137
"Catsper3",1,0
"Catsper4",14,16
"Catsperb",0,0
"Catsperd",6,8
"Cav1",2328.574,2677.688
"Cav2",272.571,260.682
"Cav3",12,59.106
"Cbarp",43,71
"Cbfa2t2",577.103,542.623
"Cbfa2t3",435.001,510.996
"Cbfb",967.99,1121.552
"Cbl",1880.667,1518.909
"Cblb",586.059,476
"Cblc",1045.084,1053.311
"Cbll1",613.298,571.715
"Cbln1",11,10
"Cbln2",36,40
"Cbln3",39.367,66.3
"Cbln4",0,2
"Cbr1",1238.952,1186.112
"Cbr2",12,43
"Cbr3",66,119
"Cbr4",264.917,324.363
"Cbs",59,59.999
"Cbwd1",205.236,231.034
"Cbx1",1253.079,1537.555
"Cbx2",195.05,156.004
"Cbx3",695.194,903.305
"Cbx4",223.106,270
"Cbx5",2689.145,3038.814
"Cbx6",1154.812,1230.801
"Cbx7",719.901,572.661
"Cbx8",147,137.625
"Cby1",183.846,234
"Cby3",0,0
"Cc2d1a",722.544,717.453
"Cc2d1b",634.777,728.78
"Cc2d2a",316.328,368.34
"Ccar1",2489.233,2729.5
"Ccar2",938.653,1232.595
"Ccbe1",169.064,113
"Ccdc102a",102,148
"Ccdc103",3,1
"Ccdc105",0,0
"Ccdc106",14,24
"Ccdc107",602.682,862.188
"Ccdc108",1,1
"Ccdc109b",60,153.015
"Ccdc110",0,0
"Ccdc112",71,90.087
"Ccdc113",0,1
"Ccdc114",79.089,76.003
"Ccdc115",340.577,501.274
"Ccdc116",181.697,203.736
"Ccdc117",672.089,469.268
"Ccdc12",811.003,1182.383
"Ccdc120",456,353.47
"Ccdc121",0,0
"Ccdc122",45.033,64
"Ccdc124",592.096,852.451
"Ccdc125",51,61
"Ccdc126",48.003,108
"Ccdc127",877.589,1086.65
"Ccdc129",33,112
"Ccdc13",6,1
"Ccdc130",156.68,178.102
"Ccdc134",244,294.609
"Ccdc136",26,72
"Ccdc137",281.486,318.018
"Ccdc138",90,82
"Ccdc14",129,134.038
"Ccdc141",102.296,81.166
"Ccdc142",6.356,1
"Ccdc144b",12.933,27.537
"Ccdc146",17,4
"Ccdc149",191,226.139
"Ccdc15",19,46
"Ccdc150",1,0
"Ccdc151",3,2
"Ccdc152",0,0
"Ccdc153",0,1
"Ccdc154",3,0
"Ccdc155",0,0
"Ccdc157",120,102.94
"Ccdc158",21,10
"Ccdc159",8,24
"Ccdc160",10,9
"Ccdc163",127.007,145.453
"Ccdc166",85,91
"Ccdc167",99,138.999
"Ccdc169",0,0
"Ccdc17",44,65
"Ccdc170",2.005,3
"Ccdc171",35,38
"Ccdc172",0,0
"Ccdc173",15,19
"Ccdc174",507.083,638.045
"Ccdc175",0,0
"Ccdc177",13,18
"Ccdc178",0,0
"Ccdc18",113.014,145.047
"Ccdc180",0,2
"Ccdc181",242.167,288.001
"Ccdc182",0,0
"Ccdc183",0,0
"Ccdc184",18,21
"Ccdc185",0,0
"Ccdc186",1936.582,1303.36
"Ccdc187",4,13
"Ccdc188",0,0
"Ccdc189",24.023,31
"Ccdc190",0,9
"Ccdc191",155,189
"Ccdc22",316.107,513.992
"Ccdc24",5.709,11.924
"Ccdc25",1849.915,2047.691
"Ccdc27",0,0
"Ccdc28a",410.663,316.045
"Ccdc28b",97.001,203.978
"Ccdc3",332.621,435.737
"Ccdc30",5,1
"Ccdc32",635.369,595.963
"Ccdc33",0,1
"Ccdc34",545.689,835.79
"Ccdc36",3,3
"Ccdc38",1,2
"Ccdc39",19,17
"Ccdc40",4,7
"Ccdc42",7,7
"Ccdc43",596.735,829.515
"Ccdc47",2647.056,2481.297
"Ccdc50",1828.051,1692.239
"Ccdc51",241.582,230.724
"Ccdc53",560.749,696.311
"Ccdc54",0,0
"Ccdc57",44,33.203
"Ccdc58",359.13,569
"Ccdc59",419.056,677.814
"Ccdc6",3350.783,2615.861
"Ccdc60",31,53.761
"Ccdc61",208.492,240.006
"Ccdc62",29.115,38.001
"Ccdc64",179.794,268.879
"Ccdc64b",194,257.097
"Ccdc65",9,23
"Ccdc66",216,234
"Ccdc67",2,0
"Ccdc68",1311.894,1374.099
"Ccdc69",59,86
"Ccdc70",0,0
"Ccdc71",871.373,824.345
"Ccdc71l",1584.699,2451.469
"Ccdc73",2,11
"Ccdc74a",4,7
"Ccdc77",183.458,171.132
"Ccdc78",3,0
"Ccdc7a",0,0
"Ccdc7b",0,0
"Ccdc8",91.33,98.668
"Ccdc80",227,556.595
"Ccdc81",0,3
"Ccdc82",177,178.43
"Ccdc83",1,5
"Ccdc84",130,135
"Ccdc85a",19,17
"Ccdc85b",40.976,57
"Ccdc85c",270,177.468
"Ccdc86",233.214,372.598
"Ccdc87",3,9
"Ccdc88a",315.867,385.707
"Ccdc88b",175.127,159
"Ccdc88c",402.013,367.04
"Ccdc89",2,2.003
"Ccdc9",810.001,1129.998
"Ccdc90b",596.82,498.93
"Ccdc91",951.974,949.264
"Ccdc92",98,137.148
"Ccdc92b",39,31
"Ccdc93",1205.964,1036.157
"Ccdc94",138.104,162.975
"Ccdc96",15,17
"Ccdc97",800.018,822.752
"Ccer1",0,0
"Ccer2",0,0
"Cchcr1",147.339,181.477
"Ccin",2,0
"Cck",54.038,122
"Cckar",4,10
"Cckbr",1,0
"Ccl1",0,0
"Ccl11",343.277,703.827
"Ccl12",8,25
"Ccl17",9,8
"Ccl2",13.265,43
"Ccl20",46,13
"Ccl22",93,106.204
"Ccl24",7,122
"Ccl25",10604.76,7620.747
"Ccl26",0,0
"Ccl27a",7,8
"Ccl27b",0,0
"Ccl28",2239.399,1560.164
"Ccl3",16,8
"Ccl4",12,12
"Ccl5",1063.548,361.943
"Ccl6",7775.089,9238.276
"Ccl7",8,31
"Ccl8",120,196.184
"Ccl9",521.983,1292.568
"Ccm2",296.563,453.002
"Ccm2l",31,24.001
"Ccna1",18,19
"Ccna2",1926.63,2940.733
"Ccnb1",396.646,570.926
"Ccnb1ip1",0,1
"Ccnb2",732.959,1179.794
"Ccnb3",0,0
"Ccnc",585.19,720.036
"Ccnd1",4013.58,4511.73
"Ccnd2",8735.217,11216.409
"Ccnd3",821.309,1208.82
"Ccndbp1",1122.577,1097.651
"Ccne1",133.098,157.017
"Ccne2",252.001,190.001
"Ccnf",438.495,487.033
"Ccng1",2339.854,2667.233
"Ccng2",5536.152,3035.613
"Ccnh",376.256,541
"Ccni",6092.516,5427.713
"Ccnj",253.537,542.648
"Ccnjl",214.001,358.486
"Ccnk",1069.245,1096.71
"Ccnl1",1503.82,1502.778
"Ccnl2",2395.896,2077.992
"Ccno",0,2
"Ccnt2",1121.93,1180.339
"Ccny",2200.202,2226.368
"Ccnyl1",679.043,612.575
"Ccp110",165.058,139.006
"Ccpg1",1910.765,1691.66
"Ccpg1os",114.534,132.933
"Ccr1",177.727,198
"Ccr10",51,40
"Ccr1l1",1,0
"Ccr2",148,206.003
"Ccr3",7,15
"Ccr4",83.699,53.481
"Ccr5",149.588,200.772
"Ccr6",17,7
"Ccr7",21,11
"Ccr8",2,1
"Ccr9",247.005,127
"Ccrl2",96,61
"Ccs",557.764,646.779
"Ccsap",41.004,44
"Ccser1",529.514,606.471
"Ccser2",2582.259,1997.091
"Cct2",4733.131,5985.066
"Cct3",3083.847,4543.854
"Cct4",4310.65,4681.73
"Cct5",4575.009,5853.289
"Cct6b",5,6
"Cct7",3128.97,4623.318
"Cct8",3982.929,6065.779
"Cct8l1",0,0
"Ccz1",1927.831,2439.394
"Cd101",19,29
"Cd109",84.111,81.966
"Cd14",288.723,439.045
"Cd151",2059.788,2735.68
"Cd160",155.871,51
"Cd163",256.418,122.051
"Cd163l1",17.003,0
"Cd164",10320.263,10309.197
"Cd164l2",0,0
"Cd177",934.686,1133.215
"Cd180",76,57
"Cd19",30.282,20
"Cd2",58,73
"Cd200",813.178,1061.328
"Cd200r1",53.725,38
"Cd200r2",26,25
"Cd200r3",4.05,9
"Cd200r4",60,30
"Cd207",0,0
"Cd209a",46,65
"Cd209b",13,4
"Cd209c",2,0
"Cd209d",2,1
"Cd209e",2,12
"Cd209g",1,3
"Cd22",69.006,60.006
"Cd226",44,24.263
"Cd244",241.371,165.013
"Cd247",78.001,49.022
"Cd248",76.177,120.237
"Cd24a",8875.916,18498.152
"Cd27",21.999,14
"Cd274",704.793,301.768
"Cd276",149,272.002
"Cd28",103,80.004
"Cd2ap",2847.787,1777.04
"Cd2bp2",1331.913,1595.575
"Cd300a",156.1,139.398
"Cd300c",2,1
"Cd300c2",105.9,120.795
"Cd300e",10,8
"Cd300lb",12,37
"Cd300ld",78.416,110.213
"Cd300ld2",12.279,24.448
"Cd300lf",77.585,262.773
"Cd300lg",116.132,139.202
"Cd302",601.216,458.241
"Cd320",106.072,134
"Cd33",35,26
"Cd34",670.609,894.051
"Cd36",738.057,521.153
"Cd37",103.368,87.762
"Cd38",4308.59,5523.956
"Cd3d",124.782,76.016
"Cd3e",535.098,277.933
"Cd3eap",119,124
"Cd3g",453.37,242.305
"Cd4",286.041,216.288
"Cd40",61.987,106.007
"Cd40lg",12,12
"Cd44",1431.781,3229.37
"Cd46",56.012,55
"Cd47",4507.232,7118.445
"Cd48",186.738,162.075
"Cd5",115.733,52.139
"Cd52",419.307,592.256
"Cd53",503.14,449.104
"Cd55b",700.124,2280.58
"Cd59a",588.795,1280.976
"Cd59b",5.012,3
"Cd5l",0,0
"Cd6",167.126,84.101
"Cd63",3746.842,5400.807
"Cd68",196.25,273.779
"Cd69",89,57.043
"Cd7",406.211,98.001
"Cd70",0,0
"Cd72",174.233,184.071
"Cd74",61569.078,52660.247
"Cd79a",422,162.886
"Cd79b",148.01,143.985
"Cd80",22,12
"Cd81",2417.505,2885.898
"Cd82",7577.484,6364.53
"Cd83",234,181
"Cd84",84.006,96.001
"Cd86",88,71.001
"Cd8a",537.343,185.503
"Cd8b1",106.517,86.491
"Cd9",2940.078,5061.616
"Cd93",427.001,479.801
"Cd96",247.387,91
"Cd99l2",482.176,511.687
"Cda",964.32,1176.624
"Cdadc1",605.502,626.253
"Cdan1",312.636,302.093
"Cdc123",1427.128,1647.09
"Cdc14a",857.433,559.077
"Cdc14b",451.421,493.199
"Cdc16",752.911,997.995
"Cdc20",840.318,1257.321
"Cdc20b",2,1
"Cdc23",641.096,760.29
"Cdc25a",2032.279,1558.214
"Cdc25b",569.097,643.912
"Cdc25c",105,201
"Cdc26",659.174,847.798
"Cdc27",1137.769,1131.597
"Cdc34",813.784,1240.982
"Cdc34b",1.005,0
"Cdc37",2224.957,2638.292
"Cdc37l1",620.802,670.963
"Cdc40",1075.879,900.736
"Cdc42",14138.774,14833.627
"Cdc42bpa",1075.369,1208.182
"Cdc42bpb",3667.292,3602.416
"Cdc42bpg",1461.676,1450.553
"Cdc42ep1",289.369,399.715
"Cdc42ep2",600,677.346
"Cdc42ep3",381,605.649
"Cdc42ep4",1191.822,1277.902
"Cdc42se1",2315.966,2999.268
"Cdc42se2",3716.131,3356.45
"Cdc45",244.967,333.544
"Cdc5l",1521.78,1794.258
"Cdc6",187.248,225.879
"Cdc7",151.004,193.002
"Cdc73",1386.705,1216.355
"Cdca2",345,447.491
"Cdca3",886.169,1417.704
"Cdca4",357.257,435.747
"Cdca5",191,325.342
"Cdca7",1731.466,2168.059
"Cdca7l",511.021,589.564
"Cdca8",569.033,824.232
"Cdcp1",2131.326,1728.014
"Cdcp2",0,0
"Cdh1",28697.596,32352.218
"Cdh10",45,37
"Cdh11",592.991,483.1
"Cdh12",1.001,3
"Cdh13",148,204.05
"Cdh15",0,0
"Cdh16",0,0
"Cdh17",34113.468,35777.991
"Cdh18",3,3
"Cdh19",91,72
"Cdh2",139,139.022
"Cdh20",6,2
"Cdh22",1,0
"Cdh23",3,1
"Cdh24",31,41
"Cdh26",4,12
"Cdh3",18,63
"Cdh4",18,22
"Cdh5",520.618,561.708
"Cdh6",9,22
"Cdh7",0,0
"Cdh8",11,10
"Cdh9",2,1
"Cdhr1",8,12
"Cdhr2",29696.895,20290.411
"Cdhr3",2,1
"Cdhr4",4.249,6
"Cdhr5",30653.567,22744.201
"Cdip1",810.916,682.445
"Cdipt",2856.888,2759.3
"Cdk1",905.284,1346.481
"Cdk10",326.595,399.217
"Cdk11b",3809.796,4645.021
"Cdk12",1157.835,899.002
"Cdk13",1403.2,1252.128
"Cdk14",198.044,165.065
"Cdk15",2.02,7
"Cdk16",3053.411,3363.062
"Cdk17",431.672,492.658
"Cdk18",1689.54,1435.483
"Cdk19",829.112,843.13
"Cdk2",506.293,723.058
"Cdk20",48,44
"Cdk2ap2",1033.803,1430.139
"Cdk3-ps",11,11
"Cdk4",1653.356,2446.902
"Cdk5",445.939,572.828
"Cdk5r1",32,27
"Cdk5r2",17,26
"Cdk5rap1",183.004,245.391
"Cdk5rap2",387.004,433.874
"Cdk5rap3",862.2,1055.506
"Cdk6",61,41.785
"Cdk7",640.264,719.862
"Cdk8",1034.49,1220.55
"Cdk9",1334.201,1610.418
"Cdkal1",228,272.075
"Cdkl1",8,20
"Cdkl2",202,240.001
"Cdkl3",36.999,57
"Cdkl4",5,4
"Cdkl5",204.076,170.041
"Cdkn1a",6542.929,4987.271
"Cdkn1b",2036.106,1985.637
"Cdkn1c",76.094,79.951
"Cdkn2a",7,19
"Cdkn2aip",515.456,531.009
"Cdkn2aipnl",735.676,980.545
"Cdkn2b",2346.86,2445.233
"Cdkn2c",326,422.067
"Cdkn2d",179.061,184.256
"Cdkn3",149,280.993
"Cdnf",45.041,35
"Cdo1",581.605,942.989
"Cdon",381,483.198
"Cdpf1",191.124,214
"Cdr1",0,0
"Cdr2",1076.863,641.203
"Cdr2l",64,149
"Cdrt4",2,1
"Cds1",7749.269,7613.577
"Cds2",3189.424,3291.706
"Cdsn",15,23
"Cdt1",398.117,418.912
"Cdv3",437.944,337.387
"Cdx1",3727.795,4405.724
"Cdx2",4645.067,4431.193
"Cdx4",0,0
"Cdyl",311.105,389.255
"Cdyl2",113,100
"Ceacam10",1847.113,2400.394
"Ceacam11",0,0
"Ceacam12",3,40
"Ceacam13",0,1
"Ceacam14",0,0
"Ceacam15",0,0
"Ceacam16",1,0
"Ceacam18",1155.47,1431.369
"Ceacam19",0,0
"Ceacam2",36901.347,46792.106
"Ceacam20",4385.969,4177.435
"Ceacam3",0,0
"Ceacam5",0,0
"Ceacam9",1,0
"Cebpa",1276.645,1238.446
"Cebpb",194,238.413
"Cebpe",3,9.969
"Cebpg",3767.613,3384.04
"Cebpz",986.36,1237.437
"Cebpzos",247.416,348.387
"Cecr2",15,7
"Cecr5",184.163,228.194
"Cecr6",2,1
"Cel",0,1
"Cela1",137.463,367.138
"Cela2a",0,0
"Cela3a",0,0
"Celf1",4741.248,5055.649
"Celf2",1007.203,1026.496
"Celf3",78.707,80
"Celf4",133,115.62
"Celf5",107.02,142.002
"Celf6",43.887,46.006
"Celsr1",360.727,493
"Celsr2",71,136.999
"Celsr3",24,32
"Cemip",56,137.009
"Cend1",49.008,87
"Cenpa",528.161,854.891
"Cenpb",3153.529,3910.291
"Cenpc1",431.429,455.123
"Cenpe",930.254,1330.648
"Cenpf",902.461,1124.491
"Cenph",128.063,187
"Cenpi",134,146.018
"Cenpj",196.263,207.316
"Cenpk",92,133
"Cenpl",386.407,346
"Cenpm",47,83.002
"Cenpn",37.007,67.005
"Cenpo",155.045,151.999
"Cenpp",69.096,117.044
"Cenpq",193.216,282.005
"Cenpt",170.003,208.604
"Cenpu",76.97,131.01
"Cenpv",706.174,809.624
"Cenpw",65,115.08
"Cep104",254.057,234.07
"Cep112",36,32
"Cep120",628.059,470.463
"Cep126",22,20
"Cep128",160.006,242.357
"Cep131",86.097,95.215
"Cep135",174.324,137.007
"Cep152",156,146.008
"Cep162",342.427,311.147
"Cep164",546.391,653.346
"Cep170",240.71,250.137
"Cep170b",2547.594,2775.853
"Cep19",490.45,556.172
"Cep192",483.542,525.132
"Cep250",545.513,459
"Cep290",231.999,264.004
"Cep295",335.292,449.001
"Cep350",3131.121,1971.659
"Cep41",96,108
"Cep44",249,260.584
"Cep55",310.717,466.62
"Cep57",462.248,501.367
"Cep57l1",496.437,511.704
"Cep63",553.119,621.925
"Cep68",291.238,353.073
"Cep70",235.999,297
"Cep72",82,88.859
"Cep76",231.016,274
"Cep78",110.122,156
"Cep83",448.32,465.346
"Cep85",262.041,351.477
"Cep85l",19,19
"Cep89",434.307,448.835
"Cep95",290.008,259
"Cep97",144.597,144.002
"Cept1",1805.834,1814.555
"Cer1",0,0
"Cercam",67.187,148
"Cerk",1099.755,904.526
"Cerkl",13,9
"Cers2",2820.279,2845.209
"Cers3",0,0
"Cers4",507.259,551.845
"Cers5",410.493,446.002
"Cers6",5303.143,3365.778
"Ces1a",0,0
"Ces1b",9.059,13.092
"Ces1c",260.974,617.459
"Ces1d",562.011,598.264
"Ces1e",189.001,196.091
"Ces1f",1556.44,848.855
"Ces1g",63.695,56
"Ces1h",0,0
"Ces2a",3672.972,1576.021
"Ces2b",2663.411,1625.467
"Ces2e",18696.017,13353.934
"Ces2f",26.263,12.001
"Ces2g",183.191,134.354
"Ces2h",42.084,29.042
"Ces3b",0,3
"Ces4a",0,0
"Ces5a",0,0
"Cetn1",0,0
"Cetn2",451.33,766.445
"Cetn3",872.522,1173.384
"Cetn4",14,43
"Cfap100",6,5
"Cfap126",31.001,30.001
"Cfap157",1,3
"Cfap161",1,0
"Cfap20",340.025,434.52
"Cfap206",2,1
"Cfap221",0,0
"Cfap36",256,348.007
"Cfap43",127,139.527
"Cfap44",0,1
"Cfap45",11.639,11.205
"Cfap52",10,18
"Cfap53",2,4
"Cfap54",8.445,9.426
"Cfap57",8,4
"Cfap58",0,0
"Cfap69",16,20
"Cfap70",1,0
"Cfap73",0,0
"Cfap77",4,5.027
"Cfap97",480.999,497.694
"Cfb",3515.736,3308.817
"Cfc1",0,0
"Cfd",35,25
"Cfdp1",1269.075,1584.997
"Cfhr1",0,1
"Cfhr2",33.104,20.491
"Cfi",62,102
"Cfl1",16739.795,18524.675
"Cfl2",1667.927,2571.851
"Cflar",3550.882,3296.745
"Cfp",155.02,215.048
"Cftr",2224.009,2667.437
"Cga",0,0
"Cggbp1",3486.218,3141.262
"Cgnl1",466,557.954
"Cgref1",2378.75,2108.922
"Cgrrf1",336,362.999
"Ch25h",14.001,15
"Chac1",112,60.004
"Chac2",186.014,239.013
"Chad",11,7
"Chadl",5,6
"Chaf1a",375,557.001
"Chaf1b",240.001,448.024
"Champ1",513.619,581.551
"Chat",30,59.125
"Chchd1",532.331,772.124
"Chchd10",947.113,1604.833
"Chchd2",3158.264,4730.616
"Chchd3",2739.461,3526.568
"Chchd4",697.167,863.944
"Chchd5",152,227.752
"Chchd6",62,67
"Chchd7",1025.344,968.509
"Chd1l",497.104,604.972
"Chd2",2124.091,1536.756
"Chd3",4036.672,3317.186
"Chd4",5014.164,5725.069
"Chd5",100,104
"Chd6",715.027,808.685
"Chd7",1346.96,1432.863
"Chd8",1909.914,1800.645
"Chd9",1268.64,1080.212
"Chdh",4208.613,3705.927
"Chek1",133.035,178.018
"Chek2",312.75,401.602
"Cherp",887.59,1062.904
"Chfr",1410.414,1456.19
"Chga",873.274,743.436
"Chgb",2114.133,2144.404
"Chic1",829.092,955.117
"Chic2",623.229,694.236
"Chid1",616.379,769.192
"Chil1",16,15
"Chil3",1,49.684
"Chil5",0,0
"Chil6",3,2
"Chit1",0,11
"Chka",2306.475,985.542
"Chkb",1286.187,1232.213
"Chl1",152,287
"Chm",557.172,525.973
"Chml",293.639,326.001
"Chmp1a",2701.561,3058.589
"Chmp2a",3162.068,3924.809
"Chmp2b",6267.487,5254.586
"Chmp3",1324.622,1637.573
"Chmp4b",6179.946,7370.863
"Chmp4c",6483.876,4277.589
"Chmp5",3327.084,3629.116
"Chmp6",960.271,1328.65
"Chmp7",990.907,1079.566
"Chn1",130,139.071
"Chn2",959.057,1309.317
"Chodl",86.001,108
"Chordc1",1421.855,1531.172
"Chp1",5546.383,5153.549
"Chp2",3363.532,2275.816
"Chpf",197.006,329.396
"Chpf2",287.001,417.452
"Chpt1",1940.03,2341.676
"Chrac1",261.884,362
"Chrd",29,49
"Chrdl1",231,287.032
"Chrdl2",9,79
"Chrm1",146.067,254.02
"Chrm2",1109.126,1226.541
"Chrm3",169,387.11
"Chrm4",28.025,47
"Chrm5",0,0
"Chrna1",2.01,0
"Chrna10",2,1
"Chrna2",4,7
"Chrna3",150,162.238
"Chrna4",2,11
"Chrna5",11.004,7
"Chrna6",0,0
"Chrna7",5,1
"Chrna9",0,0
"Chrnb1",108,165.056
"Chrnb2",60,79
"Chrnb3",1,0
"Chrnb4",137.13,162.249
"Chrnd",2,0
"Chrne",0,0
"Chrng",0,0
"Chst1",50.39,101.968
"Chst10",46.026,45.316
"Chst11",246.208,160.052
"Chst12",274.01,454.21
"Chst13",1,2
"Chst14",57,97
"Chst15",614.142,572.971
"Chst2",115.227,87.388
"Chst3",20.004,11.044
"Chst4",400.055,641.995
"Chst5",2,2
"Chst7",9,8
"Chst8",44.003,43.014
"Chst9",1,0
"Chsy1",245.436,261.059
"Chsy3",9,13
"Chtf18",124,188.442
"Chtop",2208.732,2728.989
"Chuk",2502.153,2709.997
"Churc1",357.263,540.352
"Ciao1",735.297,747.179
"Ciapin1",397.5,618.132
"Ciart",13.999,16
"Cib1",2417.347,3894.7
"Cib2",90.585,97.003
"Cib3",0,0
"Cib4",0,0
"Cic",1253.537,1393.144
"Cidea",11,15.001
"Cideb",3397.862,2838.569
"Cidec",660.956,590.986
"Ciita",756.466,592.808
"Cilp2",1,0
"Cinp",277.08,392.954
"Cipc",1013.132,923.793
"Cir1",1080.212,1027.895
"Cirbp",374.014,795.94
"Cirh1a",434.175,492.746
"Cisd1",983.697,1551.446
"Cisd2",1285.25,1616.143
"Cisd3",2797.671,3765.746
"Cish",207.005,515.301
"Cit",271.001,370.374
"Cited1",0,1
"Cited2",1376.442,1163.162
"Cited4",49.001,93
"Ciz1",1255.083,1295.763
"CK137956",1.004,3
"Ckap2",364.324,488.423
"Ckap2l",415.936,486.158
"Ckap4",1109.402,1607.193
"Ckap5",1313.194,1396.21
"Ckb",1747.553,3439.31
"Cklf",33,48
"Ckm",294.016,521.555
"Ckmt1",14701.955,19153.044
"Ckmt2",2,2
"Cks1b",317.727,583.012
"Cks1brt",0,0
"Cks2",508.483,695.456
"Clasp1",935.265,923.314
"Clasp2",683.069,818.359
"Clasrp",409.685,454.026
"Clca1",101430.909,251790.661
"Clca2",24,52
"Clca3b",9635.693,8381.467
"Clca4a",60898.868,38656.915
"Clcc1",653.439,673.039
"Clcf1",27,29
"Clcn1",11,26
"Clcn2",1620.17,1283.694
"Clcn3",3069.963,3499.891
"Clcn4",659.336,639.636
"Clcn5",1493.885,758.33
"Clcn6",147,143.001
"Clcn7",528.301,566.024
"Clcnka",0,0
"Clcnkb",1,0
"Cldn1",21,6
"Cldn10",32,13
"Cldn11",1,4
"Cldn12",1110.375,1068.658
"Cldn13",1,0
"Cldn14",0,1
"Cldn15",7030.648,7402.833
"Cldn16",0,0
"Cldn17",0,0
"Cldn18",1,0
"Cldn19",1,0
"Cldn2",4660.096,5345.183
"Cldn20",0,1
"Cldn22",0,4
"Cldn23",535.146,736.085
"Cldn24",0,0
"Cldn3",5041.884,5618.9
"Cldn34a",0,0
"Cldn34b4",0,0
"Cldn34c4",0,0
"Cldn34d",0,0
"Cldn4",2192.466,3995.905
"Cldn5",92.214,130.97
"Cldn6",1,1
"Cldn7",12872.755,10980.463
"Cldn8",206.173,116
"Cldn9",1,2
"Cldnd1",1305.675,1584.209
"Cldnd2",0,0
"Clec10a",82,171
"Clec11a",9,21
"Clec12a",15,38.611
"Clec12b",0,4
"Clec14a",174,179
"Clec16a",764.768,719.113
"Clec18a",1,0
"Clec1a",6,2
"Clec1b",47.085,44
"Clec2d",2840.648,1902.034
"Clec2e",1593.607,1014.372
"Clec2g",2,2
"Clec2h",44966.044,25102.356
"Clec2i",23.009,22.006
"Clec2l",4,6
"Clec3a",0,0
"Clec3b",251.294,357.024
"Clec4a1",138,224.185
"Clec4a2",109.001,108
"Clec4a3",72,141.001
"Clec4a4",4,1
"Clec4b1",9,8
"Clec4b2",2,1
"Clec4d",1,4
"Clec4e",0,2
"Clec4f",0,0
"Clec4g",0,1
"Clec4n",157.242,110.466
"Clec5a",49.999,26
"Clec7a",257,237
"Clec9a",44.915,38
"Clgn",22,17
"Clhc1",2,0
"Clic1",3478.359,5065.203
"Clic3",1,0
"Clic4",385.469,524.628
"Clic5",11443.769,4203.943
"Clic6",671,565.694
"Clint1",4259.76,4114.019
"Clip1",1219.819,1394.041
"Clip2",2025.531,1951.662
"Clip3",296.101,346.005
"Clip4",199.888,298.001
"Clk1",2511.689,2227.214
